この目次は別シートからのコピーです！					
編集・追加の際は元シートのご参照をどうぞ					
https://docs.google.com/spreadsheets/d/1uOPWwFZ4UQ51bAklqYyXxSA1Nj8O4Rx70xH0sYqGYl4/edit?usp=sharing					
					
					
					
一人でも自テーマ使いが増えたらいいよね！！！！！				↓最終更新日時（自動更新バグ直しました）ここの日付のセルを自分のプレゼンでセル参照してやればお手軽に更新日書いとけるよ	
					
	↓この列へのリンク反映は1日ぐらい時間差があります			1週間以内に\n更新されたシート	↓(更新した人が任意で記入してくれると読者が増える……かもしれない)
ブンボーグ	ブンボーグ			2023/09/18	ラドン展開の動画URLも追加　そのうちラドンだけでも引っ越すかも
ベアルクティ	ベアルクティ			2023/08/10	8/10　クシャトリラ実装予定のため加筆修正をしました
ペンギン（ハリラドン）	ペンギン（ハリラドン）			2022/09/28	9/6 VFD禁止につき一旦凍結宣言
方界	方界				
ホーリーナイツ	ホーリーナイツ			2023/01/15	新環境に合わせて改稿中
HERO（工事中）	HERO（工事中）			2023/06/17	6/17 Wake Up Your E・HEROを使用した展開パターンを追記しました
					
魔界劇団	魔界劇団			2023/08/17	8/17新規後のプレゼン更新とりあえず完了（沢渡さんの追加、カードの写真の追加、説明の更新等）
魔鍵	魔鍵			2023/01/25	9/6 修行部屋で得た軽い所感を追記しました　1/25 画像小さくしました
魔術師(新・新制限以降) 	魔術師(新・新制限以降) 			2023/11/12	1/15 制限改定に合わせて大幅改稿中
マシンナーズ	マシンナーズ			2023/04/30	2/26 古くなってたレシピ更新
魔弾	魔弾			2023/02/14	2/14　なんかいろいろ修正
マテリアクトル	マテリアクトル			2023/06/16	9/7 デッキレシピ更新。あとマテリアクトルの悪口を追加した　　　　2023/7/12 質問もとい活用例？追加させていただきました(非製作者より)
海晶乙女(マリンセス)	海晶乙女(マリンセス)			2023/01/29	更新長期放置中　他にやる気のある方いれば是非更新をお願いします
万丈目	万丈目				8/31　プレゼン製作中
ミュートリア	ミュートリア			2023/04/16	04/11 色々修正してる
溟界	溟界			2022/11/12	9/1 新制限対応 ハリラドンデッキ変更 餅にデッキサンプル追加
溟界(爬虫類GS)	溟界(爬虫類GS)			2023/09/18	爬虫類関係のパーツが増えてきたのでそろそろまとめてみました
メガリス制圧	メガリス制圧			2022/11/23	
メルフィー鉄獣	メルフィー鉄獣			2023/03/16	
メタルフォーゼ	メタルフォーゼ			2023/11/28	11/26　咎姫後マス1到達レシピ＆廉価版サンプル　SRギミック追記
					
					
ライトロード	ライトロード			2023/03/12	筆者は60制圧型しか使ってないので他の型（40オームFTK等）を使ってる方はレシピの提供をお願いします
烙印デスピア	烙印デスピア			2022/12/11	DC20行けたのでその時のレシピ公開してます
ラビュリンス(工事中)	ラビュリンス(工事中)			2023/03/30	剣姫様来るのでいろいろ変更中
リチュア	リチュア				
六花	六花			2023/06/12	ちょっと追記
リブロマンサー	リブロマンサー			2023/10/04	10/4　御巫リブロ追記したついでにデッキリストを最新のものにしました
竜剣士	竜剣士			2023/08/07	大体かけた
神碑(ルーン)	神碑(ルーン)			2022/12/16	デッキ解説以外は完成　かも
RR(レイドラプターズ)	RR(レイドラプターズ)			2023/10/25	新規後の動きをちょくちょく書き始めてます
レッド・デーモン（リゾネーター）	レッド・デーモン（リゾネーター）			2023/12/10	12/10 ディスパテル実装に伴い一部更新　多分新規前最後の更新かな？
六武衆	六武衆			2022/09/15	9/14 仮完成　リンクどうしたらいいかわからん…
六武衆 ３軸	六武衆 ３軸				仮完成　あいかわらずリンクどうしたらいいかわからない
